OMEN_ID;X;Y;Z;Efield;Approved
82683752;-3.78710262004;-45.3940242912;10;8.9800105254;No
82753325;-69.3790075512;-39.1968460768;10;1.94921356129;Yes
82753394;-31.01817384;34.2364318277;10;5.2128323428;No
82753416;-2.59820620664;-19.2817179541;10;22.9298703701;No
82753477;26.18911706;-41.6570156208;10;2.49784489941;Yes
160572061;-19.0846817511;-85.3834679763;10;3.86799346573;Yes
160572072;-4.32255128559;-68.4661844622;10;5.90466752394;No
160572077;6.19606501555;-83.5155202411;10;4.73682061291;Yes
162179767;27.4025038489;-85.517051843;10;3.0523004935;Yes
162179768;13.4875177378;-77.9027714434;10;4.50904497264;Yes
179543522;5.24984596003;-23.5897976541;10;12.7834825031;No
179543540;79.7362100133;21.3812110592;10;2.38944153724;Yes
179543553;71.1066922267;10.240316579;10;2.25724425957;Yes
179543555;-45.8014550844;63.8965030233;10;3.02832371315;Yes
179543563;-49.8457066477;56.27554343;10;3.21078433187;Yes
179543570;57.24736606;-7.82690138757;10;1.35258385216;Yes
179543590;85.4892218711;28.808474046;10;2.35287085673;Yes
179543621;40.4269308489;41.0759258009;10;2.72664405143;Yes
179543640;11.5216085;-0.473109527849;10;13.809104452;No
179543646;31.1762480822;24.3000185455;10;4.62096979461;Yes
179543657;52.5051387933;63.6070713119;10;1.69312747585;Yes
179543699;-18.3611024734;60.9687899453;10;2.16895335292;Yes
179543700;-51.5789573177;53.0094178901;10;3.20402357122;Yes
179543703;54.58236792;12.1416602815;10;3.35908944364;Yes
179543714;46.8768052111;30.0296532266;10;3.81787397117;Yes
301355984;-86.7137406489;15.7528774764;10;0.583130212174;Yes
